Text,Created,Likes,Sentiment
"$FCEL repost!
https://investorshub.advfn.com/boards/read_msg.aspx?message_id=160808670",2021-01-12T11:11:30Z,3834,{'basic': 'Bullish'}
$FCEL Swing time Charlie wants you to aim high.....air force.,2021-01-12T11:05:55Z,231,
"$FCEL a lot of my calls expire this friday, sell them or let them be exercised?",2021-01-12T11:03:33Z,4543,
$FCEL It’s Carbon Capture. The deal is Carbon Capture.,2021-01-12T11:00:26Z,1156,{'basic': 'Bullish'}
"$FCEL had this at .36, sold off at $3 on the initial run up over a year ago. Don’t regret it, but I’d also like to kill myself lol",2021-01-12T10:58:02Z,2312,{'basic': 'Bullish'}
$FCEL,2021-01-12T10:52:41Z,9994,{'basic': 'Bullish'}
"$FCEL Good luck longs. Shorts better be careful, FCEL might just chew you up and swallow before you can cover",2021-01-12T10:50:14Z,305,{'basic': 'Bullish'}
"$FCEL Major lightbulb moment!  I haven&#39;t been focusing on carbon capture.  But, we all know big oil has almost endless $. FCEL has most consistently looked the strongest since the election on no company specific news.  However, anyone doing real diligence knows they have been working with Exxonmobil for years on Carbon Capture which is obviously successful because of the $60M JDA after years of work prior.  Fyi, it&#39;s 10 years now.  Then read the 3 links I posted together about a week ago.  Biden win, Dems took over,  FCEL seems invincible.  Even I have been a bit surprised how strong this looks at times.  It&#39;s Carbon Capture!  Ding, ding, ding!  What does he win Johnny??  A million dollars and a party for investors.",2021-01-12T10:48:37Z,3834,{'basic': 'Bullish'}
$FCEL ,2021-01-12T10:48:32Z,58418,{'basic': 'Bullish'}
FuelCell – Hochfrequenz- und Momentumhandel lassen Kurs explodieren https://www.hzwei.info/blog/2021/01/11/fuelcell-hochfrequenz-und-momentumhandel-lassen-kurs-explodieren/  $FCEL #Wasserstoff #Brennstoffzelle,2021-01-12T10:43:14Z,0,
"$NNDM  Break out today!  💥 

 $FCEL $NIO $MU  💚🔫",2021-01-12T10:38:58Z,211,{'basic': 'Bullish'}
$FCEL $PLUG 💚💙☕️GM! 🤙🏻,2021-01-12T10:28:05Z,3415,{'basic': 'Bullish'}
"$FCEL bearish article says the green new deal might hurt the environment. This author also probably thinks global warming doesn’t exist. A green revolution is now possible with dems with the majority in the senate. Alternative energy is hot and still has a lot more time until a cool down. Look at Japan and the EU heavily investing in hydrogen. SK group from Korea didn’t just give PLUG billions of dollars to throw away. Hydrogen although historically has not been cost effective, new technological Developments have been increasing the cost effectiveness rapidly. The US won’t let Asia and the rest of the world leave US in the dust in this global movement for clean energy.",2021-01-12T10:27:12Z,201,{'basic': 'Bullish'}
$FCEL ,2021-01-12T10:25:29Z,182,{'basic': 'Bullish'}
$FCEL 💚💙☕️ GM! 🤙🏻,2021-01-12T10:25:08Z,3415,{'basic': 'Bullish'}
$FCEL fundamentals don&#39;t support elevated premium. $BE $PLUG https://bit.ly/38AOnKx,2021-01-12T10:23:12Z,294,{'basic': 'Bearish'}
$FCEL NEW ARTICLE : Recent Euphoria Makes FuelCell Energy Stock Ripe for Profit-Taking https://www.stck.pro/news/FCEL/10275696,2021-01-12T10:13:06Z,52,
"$FCEL Crystal ball says -&gt; C&amp;H followed by new highs 

Nice run -&gt; retrace via bull flags -&gt; breakout to first cup rim, now building the second rim.",2021-01-12T10:09:28Z,2193,
$FCEL Lets Go!!,2021-01-12T09:59:50Z,355,{'basic': 'Bullish'}
$FCEL we looking damn good today,2021-01-12T09:54:59Z,3699,{'basic': 'Bullish'}
"$FCEL 

ATH today!

Loaded up!",2021-01-12T09:50:05Z,2954,{'basic': 'Bullish'}
$ENG $OEG $OPTT $FCEL $PLUG cant sleep anymore. 👀,2021-01-12T09:44:02Z,5053,{'basic': 'Bullish'}
$GEVO 🆙 we go $FCEL $PLUG $HYSR,2021-01-12T09:42:41Z,2482,{'basic': 'Bullish'}
$FCEL,2021-01-12T09:36:50Z,2396,{'basic': 'Bullish'}
"$FCEL $PLUG $GEVO 
https://www.youtube.com/watch?v=tWlDhU6jZb8&amp;t=244s&amp;ab_channel=ARMYOFSTOCKS
Join to A TRUE WINNER IN THE STOCK MARKET
check out my moves in the stock market and subscribe for profitable updates
https://www.youtube.com/channel/UCLxkjUeQqCxOkWN6VdwMuWQ/videos?sub_confirmation=1",2021-01-12T09:32:58Z,24,
$FCEL 20+ by friday.,2021-01-12T09:32:06Z,4839,{'basic': 'Bullish'}
$LMFA only trash on my portfolio getting rid of buying more of $OEG $BW $ENG $FCEL get with these 4 stock it will pay off big time,2021-01-12T09:30:48Z,164,
Peak profit for the last 6 expired option alerts for $FCEL 110.37|,2021-01-12T09:20:03Z,276,
$FCEL will this make a new 52w high during pre-market?,2021-01-12T09:19:24Z,2638,{'basic': 'Bullish'}
Excited for today $BXRX $SOS $FCEL $NIO,2021-01-12T09:17:04Z,1616,{'basic': 'Bullish'}
"$FCEL added right before market close, let&#39;s hope for some good over the weekend news. Can&#39;t forget about $PLUG also, announce something!!",2021-01-08T21:01:53Z,771,{'basic': 'Bullish'}
"$FCEL $PLUG - not bad for a Friday 💁🏻‍♀️ Great week, y’all. See ya Monday",2021-01-08T21:00:16Z,1850,{'basic': 'Bullish'}
"Large Print $FCEL Size: 637145 Price: 15.32 Time: 1600 Amount: $9,761,061.40",2021-01-08T21:00:01Z,114,
"@RoStock 

I have been in plenty of penny’s where people like you said the same $FCEL $PLUG 
And yes even $ACB 
Look at them now!😎",2021-01-08T20:59:03Z,22043,{'basic': 'Bullish'}
"$PLUG 

It’s been a wild ride from 16$. I’m out.

Moving a quarter of the gains into $WKHS and keeping 75% cash, will re-enter here on the pullback.

Considering putting some into $BLDP as well when it retraces.

$FCEL exited at 14$, slightly early but the run from 2$ was awesome. Not planning to re-enter FCEL

Ballard makes the PEM inside many of PLUGs commercial systems like Gendrive.

Good luck bulls, PLUG treated me very, very well. 

I’ve found a new horse though.",2021-01-08T20:58:08Z,1707,{'basic': 'Bullish'}
$FCEL common shortees buy before gets too hot.,2021-01-08T20:57:01Z,34,{'basic': 'Bullish'}
$FCEL next week y’all will be wishing for the prices,2021-01-08T20:56:57Z,4751,{'basic': 'Bullish'}
$FCEL Can you imagine if we get a 1.5 billion contract with the U.S.,2021-01-08T20:56:37Z,182,{'basic': 'Bullish'}
$LMFA added more. Thede will be cheapies come next week $5 $BNGO $FTFT $FCEL,2021-01-08T20:56:00Z,3877,{'basic': 'Bullish'}
"$TNXP prior to post pandemic market, I was always scared to see these heavy walls that was so common in FCEL, but I am now not afraid of these because I know those will just get melted. $FCEL went from 0.25 to 16 😆🤣😂😹😆🤣😂😹why did I even sell? $SNDL",2021-01-08T20:55:51Z,1545,{'basic': 'Bullish'}
$FCEL DJI will crack 32K this month,2021-01-08T20:55:24Z,89,{'basic': 'Bullish'}
$FCEL and $NIO WERE VERY CHEAP AT THE beginning of the year around 1.45 average at its lowest. Feel very dumb to have sold at 24$,2021-01-08T20:55:21Z,67,
$FCEL I think many major US and European companies will sign a cooperation deals with us in 2021 💪💰🚀😃 This will make us to become $100+ in 1-1.5 year 💪💰🚀👍,2021-01-08T20:54:36Z,1577,
$FCEL what&#39;s everyone  PT?,2021-01-08T20:53:58Z,365,
$FCEL yup,2021-01-08T20:51:22Z,34,
$AMCI $FCEL make it stop.,2021-01-08T20:50:35Z,24226,{'basic': 'Bullish'}
"$CLNE $ENG $FCEL 

Easy money long term, doubles, triples, and potential for way more if you have the nuts to study the potential and invest now.",2021-01-08T20:50:22Z,8739,{'basic': 'Bullish'}
$FCEL  pt to entry pls,2021-01-08T20:50:20Z,404,
