Text,Created,Likes,Sentiment
"$COTY new year, new 52 week highs coming people 💰 🤑",2021-01-01T04:56:22Z,1142,
$COTY get ready for this baby to take off!!,2021-01-01T00:44:42Z,208,
$COTY anyone want to weigh in on significance of KKR group sale? What does that translate to?,2020-12-31T23:20:24Z,2018,
"$COTY: New SEC filing on Director, PETER HARF: https://www.sec.gov/Archives/edgar/data/1024305/000110465920141002/xslF345X03/tm2039664-1_4.xml",2020-12-31T22:35:02Z,0,
"$COTY a year-end review for the ultimate in rear ends thank you sisters.

Cody was a top-5  performer I believe number 3  in % increase just didn&#39;t have the same amount of shares as others, so the others generated more total $.

I miss the days of it being 12 and bought in late March and sold in early May.  Bought back in below 3 in September

Sold in.small blocks once it  was +120%.

Ending 2020 with 5500 at $3.03. Anybody got any internet sales and next quarterly  projections",2020-12-31T22:15:00Z,332,{'basic': 'Bullish'}
"Large Print $COTY Size: 242683 Price: 7.02 Time: 1647 Amount: $1,703,634.66",2020-12-31T21:47:45Z,114,
"$COTY reported 2 new insider trades to the SEC in the last 2 minutes.

$150,000,539.00 of shares sold by Kkr Group Partnership L.p. (10% Owner)   https://newsfilter.io/articles/4-form-ea835cf30e26211ddb243fb328f29d23
$150,000,539.00 of shares sold by Kkr Rainbow Aggregator L.p. (10% Owner)   https://newsfilter.io/articles/4-form-73f52647c15769c2af970469c07b29b2",2020-12-31T21:41:25Z,531,
Coty Inc insider just declared 0 ownership of the company. http://www.conferencecalltranscripts.org/summary/?id=8724021 $COTY,2020-12-31T21:38:12Z,762,
Coty Inc insider just declared 0 ownership of the company. http://www.conferencecalltranscripts.org/summary/?id=8724018 $COTY,2020-12-31T21:38:09Z,762,
"$COTY [15s. delayed] filed SEC form 4: Insider KKR Group Partnership L.P.: 
Transacted Derivative Securities between 2020-12-30 and 2020-1 https://s.flashalert.me/W2EDq",2020-12-31T21:37:01Z,4,
"$COTY [15s. delayed] filed SEC form 4: Insider KKR Rainbow Aggregator L.P.: 
Transacted Derivative Securities between 2020-12-30 and 2020- https://s.flashalert.me/rQwJx",2020-12-31T21:36:47Z,4,
"$COTY SEC Form 4 filed

🐃Bullish or 🐻Bearish? Read and Vote!
https://quantisnow.com/insight/247679

#packagegoodscosmetics #consumernondurables",2020-12-31T21:36:29Z,93,
"$COTY [15s. delayed] filed SEC form 4: Director HARF PETER: 
Transacted Derivative Securities on 2020-12-30.  https://s.flashalert.me/Bnpxkv",2020-12-31T21:35:31Z,4,
